epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.21,0.74567,2.67854,1.01995,0.52003,0.85438,0.67101,0.58502,0.49064,1.80828,0.84379,0.000367864,0.000367864,0.000367864
2,732.226,0.75017,1.65592,1.01744,0.83038,0.88245,0.94274,0.80616,0.52641,1.19967,0.84392,0.000713837,0.000713837,0.000713837
3,922.997,0.68937,1.32244,0.9778,0.93583,0.95081,0.97268,0.84522,0.52225,1.04599,0.84677,0.00103537,0.00103537,0.00103537
4,1185.29,0.69371,1.19166,0.99416,0.95554,0.97612,0.97527,0.88205,0.47722,0.88799,0.83412,0.00100101,0.00100101,0.00100101
5,1367.36,0.63803,1.00743,0.97835,0.97951,0.98947,0.98068,0.87057,0.49993,0.81333,0.84684,0.000964348,0.000964348,0.000964348
6,1476.66,0.64615,0.91611,0.96689,0.94012,0.98101,0.96766,0.87207,0.498,0.77922,0.84583,0.000927685,0.000927685,0.000927685
7,1599.84,0.60436,0.79652,0.94653,0.95244,0.98329,0.97526,0.88268,0.46898,0.83074,0.84006,0.000891022,0.000891022,0.000891022
8,1705.99,0.62035,0.82756,0.9563,0.978,0.98311,0.99011,0.88501,0.50476,0.67607,0.84629,0.000854359,0.000854359,0.000854359
9,1847.47,0.6328,0.80467,0.96877,0.97905,0.98947,0.99326,0.90775,0.44215,0.66721,0.83756,0.000817696,0.000817696,0.000817696
10,1965.03,0.59323,0.77299,0.94377,0.94701,0.96811,0.98924,0.89315,0.43377,0.68624,0.8254,0.000781033,0.000781033,0.000781033
11,2091.38,0.59285,0.74345,0.94903,0.97432,0.98711,0.97811,0.9006,0.40623,0.59524,0.81857,0.00074437,0.00074437,0.00074437
12,2200.15,0.56413,0.71333,0.93929,0.98464,0.97405,0.99394,0.91403,0.42278,0.61644,0.82563,0.000707707,0.000707707,0.000707707
13,2302.05,0.57064,0.70339,0.9298,0.98364,0.98947,0.99292,0.91598,0.42397,0.56399,0.81998,0.000671044,0.000671044,0.000671044
14,2406.43,0.54063,0.62987,0.92095,0.98143,0.98947,0.99364,0.91784,0.4261,0.56356,0.82361,0.000634381,0.000634381,0.000634381
15,2509.11,0.52928,0.61958,0.9062,0.97131,0.99035,0.995,0.92564,0.39338,0.53694,0.80798,0.000597718,0.000597718,0.000597718
16,2630.35,0.55589,0.69029,0.9299,0.95837,0.98698,0.99194,0.9065,0.42208,0.56304,0.81773,0.000561055,0.000561055,0.000561055
17,2745.44,0.56534,0.60594,0.94311,0.96076,0.97237,0.98032,0.90861,0.38979,0.53336,0.81119,0.000524392,0.000524392,0.000524392
18,2847.25,0.51947,0.58319,0.92593,0.96168,0.97991,0.98318,0.91647,0.37757,0.52552,0.81418,0.000487729,0.000487729,0.000487729
19,2950.35,0.52719,0.58973,0.92298,0.93118,0.98196,0.96398,0.89771,0.37125,0.49547,0.80889,0.000451066,0.000451066,0.000451066
20,3054.48,0.50827,0.54994,0.91646,0.98051,0.98947,0.99394,0.92795,0.38879,0.47683,0.81492,0.000414403,0.000414403,0.000414403
21,3153.79,0.42785,0.55985,0.83758,0.98399,0.9904,0.995,0.92347,0.39889,0.47231,0.81346,0.00037774,0.00037774,0.00037774
22,3254.42,0.4151,0.53967,0.8394,0.98382,0.99068,0.99444,0.93743,0.37776,0.45383,0.79933,0.000341077,0.000341077,0.000341077
23,3406.74,0.4047,0.51125,0.84501,0.98412,0.99078,0.99444,0.9305,0.38566,0.43861,0.80155,0.000304414,0.000304414,0.000304414
24,3654.03,0.41192,0.50615,0.8393,0.98172,0.99154,0.99178,0.9317,0.37209,0.42966,0.80099,0.000267751,0.000267751,0.000267751
25,3888.85,0.3978,0.47725,0.82804,0.98257,0.99181,0.99378,0.93177,0.37016,0.42439,0.80114,0.000231088,0.000231088,0.000231088
26,4127.92,0.3887,0.46913,0.82708,0.984,0.99124,0.99444,0.94152,0.35053,0.41076,0.79408,0.000194425,0.000194425,0.000194425
27,4344.83,0.38465,0.45677,0.83331,0.9854,0.99089,0.995,0.95536,0.35133,0.39412,0.79285,0.000157762,0.000157762,0.000157762
28,4565.18,0.38012,0.45773,0.81468,0.9825,0.99226,0.995,0.93256,0.37152,0.38047,0.79697,0.000121099,0.000121099,0.000121099
29,4820.87,0.38068,0.44055,0.82888,0.98249,0.99253,0.995,0.9448,0.35527,0.37785,0.79306,8.4436e-05,8.4436e-05,8.4436e-05
30,4988.67,0.37466,0.4377,0.81598,0.98948,0.9875,0.995,0.94605,0.3471,0.37703,0.7917,4.7773e-05,4.7773e-05,4.7773e-05
