                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71096,                 2.8933,                0.98179,                0.39982,                0.87366,                0.57102,                0.51037,                0.53564,                   1.78,                0.81968,             0.00036786,             0.00036786,             0.00036786
                      2,                0.65967,                 1.7592,                0.96881,                 0.7179,                0.93528,                0.87347,                0.77026,                 0.5588,                 1.3196,                0.88722,             0.00071993,             0.00071993,             0.00071993
                      3,                0.66589,                 1.5068,                0.98504,                0.80326,                0.96673,                  0.995,                0.87872,                0.59709,                 1.2068,                0.95443,              0.0010537,              0.0010537,              0.0010537
                      4,                0.70355,                 1.4397,                 1.0356,                0.93037,                      1,                  0.995,                0.91576,                0.47302,                 1.1096,                0.90002,              0.0010285,              0.0010285,              0.0010285
                      5,                0.64432,                 1.1531,                0.98541,                0.97064,                0.97314,                  0.995,                  0.877,                0.57032,                0.89239,                0.87817,              0.0010285,              0.0010285,              0.0010285
                      6,                0.62296,                 1.0237,                0.95768,                0.96742,                0.96194,                  0.995,                0.89997,                0.49835,                0.77245,                0.84759,               0.001001,               0.001001,               0.001001
                      7,                 0.6123,                0.95556,                0.95819,                 0.9254,                0.96764,                  0.995,                0.87556,                0.50965,                0.86591,                0.88469,             0.00097351,             0.00097351,             0.00097351
                      8,                0.62214,                0.93015,                0.97773,                0.97083,                0.99951,                  0.995,                 0.8927,                 0.4838,                0.64683,                0.87277,             0.00094602,             0.00094602,             0.00094602
                      9,                0.63878,                0.89781,                0.96997,                0.98926,                      1,                  0.995,                0.89999,                0.52216,                0.64377,                0.87085,             0.00091852,             0.00091852,             0.00091852
                     10,                0.60338,                0.87456,                0.95717,                0.90516,                0.99185,                  0.995,                0.91893,                0.46625,                0.72439,                 0.8459,             0.00089102,             0.00089102,             0.00089102
                     11,                0.58653,                0.80761,                0.94278,                0.97675,                      1,                  0.995,                0.90117,                0.48978,                0.62674,                0.84298,             0.00086352,             0.00086352,             0.00086352
                     12,                0.57519,                0.73526,                0.93546,                0.97905,                      1,                  0.995,                0.91086,                 0.4735,                 0.5206,                 0.8329,             0.00083603,             0.00083603,             0.00083603
                     13,                0.53561,                0.68621,                0.92389,                0.98614,                      1,                  0.995,                0.91478,                 0.4755,                 0.5099,                0.86182,             0.00080853,             0.00080853,             0.00080853
                     14,                 0.5687,                 0.6851,                0.93252,                0.98167,                      1,                  0.995,                0.90065,                0.51378,                0.51167,                 0.8556,             0.00078103,             0.00078103,             0.00078103
                     15,                0.54679,                0.65917,                0.93806,                 0.9842,                      1,                  0.995,                0.89468,                0.48216,                0.46456,                0.88293,             0.00075354,             0.00075354,             0.00075354
                     16,                0.57306,                0.66395,                0.95582,                0.96806,                0.99715,                  0.995,                0.91415,                0.50007,                0.47746,                0.84756,             0.00072604,             0.00072604,             0.00072604
                     17,                0.54787,                0.71294,                0.90751,                0.96677,                      1,                  0.995,                0.88461,                0.48097,                0.51855,                0.85206,             0.00069854,             0.00069854,             0.00069854
                     18,                0.56018,                0.62933,                0.91885,                 0.9615,                      1,                  0.995,                0.90278,                0.47993,                0.47649,                0.86912,             0.00067104,             0.00067104,             0.00067104
                     19,                0.50472,                0.59166,                0.92005,                0.98154,                      1,                  0.995,                0.90862,                0.46459,                 0.4293,                0.86167,             0.00064355,             0.00064355,             0.00064355
                     20,                0.53982,                0.57869,                 0.9284,                0.98895,                      1,                  0.995,                0.90501,                0.47302,                0.42037,                0.84678,             0.00061605,             0.00061605,             0.00061605
