                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56716,                0.68679,                 2.1177,                0.88282,                0.99669,                      1,                  0.995,                0.95744,                0.99669,                      1,                  0.995,                0.95553,                0.32725,                0.41851,                 1.2507,                0.80077,             0.00036786,             0.00036786,             0.00036786
                      2,                 0.4609,                0.50425,                  1.067,                0.84403,                0.99787,                      1,                  0.995,                0.93637,                0.99787,                      1,                  0.995,                0.95935,                0.35485,                0.40164,                 0.7664,                0.80895,             0.00070166,             0.00070166,             0.00070166
                      3,                0.45455,                0.49208,                0.93243,                0.85052,                0.99789,                      1,                  0.995,                0.96677,                0.99789,                      1,                  0.995,                0.94635,                0.30009,                0.41709,                0.72403,                0.80005,             0.00099879,             0.00099879,             0.00099879
                      4,                0.47426,                0.47868,                0.97405,                0.86547,                0.99493,                      1,                  0.995,                0.95115,                0.99493,                      1,                  0.995,                0.95185,                0.32593,                0.43514,                0.68562,                0.80689,             0.00094602,             0.00094602,             0.00094602
                      5,                0.44077,                0.44781,                0.80782,                0.85714,                0.99785,                      1,                  0.995,                0.93899,                0.99785,                      1,                  0.995,                0.94615,                 0.3166,                0.41079,                0.57002,                0.80091,             0.00094602,             0.00094602,             0.00094602
                      6,                0.42189,                0.42608,                0.78554,                0.84982,                0.99791,                      1,                  0.995,                0.97778,                0.99791,                      1,                  0.995,                0.95045,                0.26336,                0.38606,                0.50057,                0.78778,             0.00089102,             0.00089102,             0.00089102
                      7,                0.39273,                0.42956,                0.69734,                0.84415,                0.99789,                      1,                  0.995,                  0.995,                0.99789,                      1,                  0.995,                0.95994,                0.22614,                0.40525,                0.47973,                0.78274,             0.00083603,             0.00083603,             0.00083603
                      8,                0.42077,                0.44488,                0.68303,                0.85383,                0.99795,                      1,                  0.995,                0.98209,                0.99795,                      1,                  0.995,                0.97907,                0.27822,                0.40622,                0.44055,                0.79522,             0.00078103,             0.00078103,             0.00078103
                      9,                0.43096,                0.45522,                0.68247,                0.84935,                0.99782,                      1,                  0.995,                0.98048,                0.99782,                      1,                  0.995,                0.96876,                0.27668,                0.37698,                0.42248,                0.78953,             0.00072604,             0.00072604,             0.00072604
                     10,                0.36661,                0.41275,                0.64522,                0.82511,                0.99721,                      1,                  0.995,                  0.995,                0.99721,                      1,                  0.995,                0.95269,                0.24769,                0.40428,                0.36663,                0.78575,             0.00067104,             0.00067104,             0.00067104
                     11,                0.33686,                0.39378,                0.69746,                0.81604,                0.99792,                      1,                  0.995,                 0.9694,                0.99792,                      1,                  0.995,                0.96122,                0.25538,                0.38775,                0.38344,                0.78942,             0.00061605,             0.00061605,             0.00061605
                     12,                0.32607,                0.38799,                0.63415,                0.80765,                0.99808,                      1,                  0.995,                0.97848,                0.99808,                      1,                  0.995,                0.98293,                0.24237,                0.37246,                0.35433,                0.78567,             0.00056105,             0.00056105,             0.00056105
                     13,                0.31479,                0.38454,                0.61459,                0.80883,                0.99796,                      1,                  0.995,                0.97563,                0.99796,                      1,                  0.995,                0.98027,                0.23524,                0.37031,                0.36338,                0.78249,             0.00050606,             0.00050606,             0.00050606
                     14,                0.30165,                 0.3685,                0.58411,                0.81364,                0.99798,                      1,                  0.995,                0.98994,                0.99798,                      1,                  0.995,                0.99141,                0.22298,                0.38116,                0.35132,                0.78157,             0.00045107,             0.00045107,             0.00045107
                     15,                 0.2868,                0.37654,                0.55079,                0.80866,                0.99796,                      1,                  0.995,                0.98978,                0.99796,                      1,                  0.995,                 0.9761,                0.23587,                0.36134,                0.34693,                0.78569,             0.00039607,             0.00039607,             0.00039607
                     16,                 0.2728,                0.35805,                 0.5248,                0.81123,                0.99806,                      1,                  0.995,                0.99082,                0.99806,                      1,                  0.995,                0.94163,                0.23139,                0.38883,                0.32935,                0.78433,             0.00034108,             0.00034108,             0.00034108
                     17,                0.26687,                0.35716,                0.49925,                0.80314,                0.99807,                      1,                  0.995,                0.99051,                0.99807,                      1,                  0.995,                0.98047,                0.23694,                0.37484,                0.32286,                0.78016,             0.00028608,             0.00028608,             0.00028608
                     18,                0.26706,                 0.3686,                0.49924,                0.81069,                0.99802,                      1,                  0.995,                0.98479,                0.99802,                      1,                  0.995,                0.98102,                0.21814,                0.37135,                0.30773,                 0.7797,             0.00023109,             0.00023109,             0.00023109
                     19,                0.25156,                 0.3426,                0.45731,                0.79169,                 0.9981,                      1,                  0.995,                 0.9914,                 0.9981,                      1,                  0.995,                0.98828,                0.21966,                0.37304,                0.28256,                0.77525,             0.00017609,             0.00017609,             0.00017609
                     20,                0.25171,                0.34537,                0.47187,                0.79736,                0.99804,                      1,                  0.995,                 0.9914,                0.99804,                      1,                  0.995,                0.98571,                0.20288,                0.36844,                0.27813,                0.77425,              0.0001211,              0.0001211,              0.0001211
