                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43078,                0.39742,                 1.2703,                0.87052,                0.99777,                      1,                  0.995,                0.99051,                0.99777,                      1,                  0.995,                0.97923,                0.26261,                0.38189,                0.73118,                0.78653,             0.00066222,             0.00066222,             0.00066222
                      2,                0.44969,                0.44535,                0.81025,                0.85554,                0.99789,                      1,                  0.995,                0.98178,                0.99789,                      1,                  0.995,                0.95696,                0.31158,                0.41425,                0.72016,                0.80255,              0.0012631,              0.0012631,              0.0012631
                      3,                0.43671,                0.46937,                0.77325,                0.86506,                0.99804,                      1,                  0.995,                0.96048,                0.99804,                      1,                  0.995,                0.92881,                0.30371,                0.42377,                0.61484,                0.79547,               0.001798,               0.001798,               0.001798
                      4,                0.49593,                0.48167,                0.86527,                0.89716,                0.99785,                      1,                  0.995,                0.95348,                0.99785,                      1,                  0.995,                0.96157,                0.31599,                0.39617,                 0.5785,                0.80492,               0.001703,               0.001703,               0.001703
                      5,                0.42537,                0.43398,                0.66659,                0.85413,                0.99784,                      1,                  0.995,                0.95817,                0.99784,                      1,                  0.995,                0.94601,                0.30991,                0.42465,                0.51118,                0.79761,               0.001703,               0.001703,               0.001703
                      6,                0.43014,                0.43821,                0.65138,                0.86051,                0.99793,                      1,                  0.995,                0.97962,                0.99793,                      1,                  0.995,                0.95201,                 0.2714,                0.38956,                0.43466,                0.79274,               0.001604,               0.001604,               0.001604
                      7,                0.41239,                0.44483,                0.59477,                0.85406,                0.99793,                      1,                  0.995,                0.97151,                0.99793,                      1,                  0.995,                 0.9753,                0.30875,                0.39731,                  0.411,                0.79613,               0.001505,               0.001505,               0.001505
                      8,                0.42631,                0.43973,                0.56207,                0.86125,                0.99788,                      1,                  0.995,                0.97498,                0.99788,                      1,                  0.995,                0.94449,                0.28253,                0.41874,                0.41295,                0.79372,               0.001406,               0.001406,               0.001406
                      9,                0.42544,                0.44812,                0.52355,                0.85489,                 0.9979,                      1,                  0.995,                0.96305,                 0.9979,                      1,                  0.995,                0.95444,                 0.2944,                0.38898,                0.37439,                0.79903,               0.001307,               0.001307,               0.001307
                     10,                0.38198,                0.41178,                0.51396,                0.83384,                0.99792,                      1,                  0.995,                0.99201,                0.99792,                      1,                  0.995,                0.95025,                0.25219,                0.39866,                0.35551,                0.78906,               0.001208,               0.001208,               0.001208
                     11,                0.36063,                 0.3867,                0.50437,                0.83129,                0.99803,                      1,                  0.995,                0.95185,                0.99803,                      1,                  0.995,                0.94894,                0.27379,                0.40066,                0.36894,                0.79437,               0.001109,               0.001109,               0.001109
                     12,                0.33858,                0.37261,                0.48247,                0.82109,                0.99813,                      1,                  0.995,                0.99185,                0.99813,                      1,                  0.995,                0.96724,                0.26305,                0.38065,                0.34046,                 0.7916,                0.00101,                0.00101,                0.00101
                     13,                0.32069,                0.36596,                0.46318,                0.81494,                0.99799,                      1,                  0.995,                0.98369,                0.99799,                      1,                  0.995,                0.98406,                0.24593,                0.37994,                0.30744,                0.78373,               0.000911,               0.000911,               0.000911
                     14,                0.31756,                0.35764,                0.45407,                0.82529,                0.99798,                      1,                  0.995,                0.98432,                0.99798,                      1,                  0.995,                0.98593,                0.24594,                0.37148,                0.32394,                0.78553,               0.000812,               0.000812,               0.000812
                     15,                0.30003,                 0.3585,                0.41096,                0.81812,                0.99801,                      1,                  0.995,                0.98993,                0.99801,                      1,                  0.995,                0.96453,                0.21009,                0.36215,                0.28031,                0.78143,               0.000713,               0.000713,               0.000713
                     16,                 0.2874,                0.34774,                0.38937,                0.82102,                  0.998,                      1,                  0.995,                0.99112,                  0.998,                      1,                  0.995,                0.98131,                0.21337,                0.38504,                0.29753,                 0.7803,               0.000614,               0.000614,               0.000614
                     17,                0.27448,                 0.3484,                 0.3812,                0.80808,                  0.998,                      1,                  0.995,                0.99066,                  0.998,                      1,                  0.995,                0.98218,                0.21914,                0.37645,                0.27936,                0.78077,               0.000515,               0.000515,               0.000515
                     18,                0.26722,                0.35195,                0.37394,                0.81447,                0.99796,                      1,                  0.995,                  0.995,                0.99796,                      1,                  0.995,                0.95154,                0.19946,                0.37104,                0.26563,                0.77708,               0.000416,               0.000416,               0.000416
                     19,                0.25591,                  0.337,                0.33925,                0.79014,                0.99802,                      1,                  0.995,                  0.995,                0.99802,                      1,                  0.995,                0.98375,                0.19076,                0.36682,                0.25171,                0.77521,               0.000317,               0.000317,               0.000317
                     20,                0.25546,                0.33893,                0.35228,                0.79735,                0.99799,                      1,                  0.995,                  0.995,                0.99799,                      1,                  0.995,                0.96988,                 0.1956,                0.35923,                0.25329,                0.77675,               0.000218,               0.000218,               0.000218
